ID,수영장명,주소,전화번호,일일권(현재),자유수영(현재),웹사이트,일일권(실제),자유수영(실제),비고
1,강남구민체육센터 수영장,서울 강남구 선릉로99길 13,02-3423-5678,3500,3500,https://life.gangnam.go.kr/fmcs/63?action-value=dbb6e4d860c490948f61ebe14efbe8d5&action=read,,,
2,대치1동 구민체육센터,서울 강남구 남부순환로 2947,02-3411-1708,3500,3500,https://www.gangnam.go.kr/center/contents/center_edu_3220049/1/view.do?mid=MC0602&office=3220049,,,
3,강동구민회관 수영장,서울 강동구 성내로 47,02-440-5500,3500,3500,https://online.igangdong.or.kr/lecture/list.do,,,
4,천호체육관 수영장,서울 강동구 천중로 203,02-440-5974,3500,3500,https://www.gangdong.go.kr/web/culture/contents/gdc035_050_018,,,
5,강북구민체육센터,서울 강북구 한천로 1089,02-985-1942,3500,3500,https://www.gangbuk.go.kr/portal/bbs/B0000142/view.do?nttId=128653&menuNo=200625,,,
6,강서구민체육센터,서울 강서구 화곡로 302,02-2600-1700,3500,3500,https://sports.seoul.go.kr/main/facilities/facilities_view.do?ft_idx=684,,,
7,관악구민체육센터,서울 관악구 남부순환로 1906,02-879-6611,3400,3400,https://www.gwanakgongdan.or.kr/www/1399?action=read&action-value=e29032c52a37c276de84283f025cb798,,,
8,광진구민체육센터,서울 광진구 능동로 289,02-450-1491,3500,3500,https://booking.gwangjin.or.kr/fmcs/102?action=read&action-value=07440e52e2bec98d52dbc8618a103e04,,,
9,구로구민체육센터,서울 구로구 구로중앙로 118,02-860-2700,3500,3500,https://www.gurosisul.or.kr/mod.asp?m=business&s=b01,,,
10,금천구민체육센터,서울 금천구 시흥대로73길 70,02-2104-0800,3500,3500,https://www.gfmc.kr/page/business/sub05_030101.php,,,
11,노원구민체육관,서울 노원구 동일로 1328,02-2116-4900,3500,3500,https://www.nowonsc.kr/fmcs/498,,,
12,도봉구민회관 수영장,서울 도봉구 마들로 656,02-2091-2700,3500,3500,https://yeyak.dobongsiseol.or.kr/lecture/index.php?c_id=02&n_type=lecture,,,
13,동대문구민체육센터,서울 동대문구 천호대로 145,02-2127-4800,3500,3500,https://www.dfmc.kr:8443/course/sports/fmcs/121,,,
14,동작구민체육센터,서울 동작구 여의대방로 112,02-820-9700,3500,3500,https://sports.idongjak.or.kr/home/40,,,
15,마포구민체육센터,서울 마포구 월드컵로 212,02-3153-8800,3500,3500,http://www.maposc.or.kr/,,,
16,서대문구민체육센터,서울 서대문구 모래내로 172,02-330-1361,3500,3500,https://sports.seoul.go.kr/main/facilities/facilities_view.do?ft_idx=1040,,,
17,서초구민체육센터,서울 서초구 서초중앙로 97,02-2155-8100,3500,3500,https://www.seocho.go.kr/sports/fmcs/98,,,
18,성동구민체육센터,서울 성동구 무학봉15길 12,02-2299-7700,3500,3500,https://sports.happysd.or.kr/fmcs/3,,,
19,성북구민체육센터,서울 성북구 화랑로 63,02-920-3833,3500,3500,https://www.gongdan.go.kr/portal/main/contents.do?menuNo=400120,,,
20,송파구민체육센터,서울 송파구 백제고분로42길 5,02-2147-3800,3500,3500,https://www.songpa.go.kr/culture/contents.do?key=5396,,,
21,잠실학생체육관,서울 송파구 올림픽로 25,02-2147-3333,3500,3500,https://sports.seoul.go.kr/main/facilities/facilities_view.do?ft_idx=950,,,
22,올림픽공원 수영장,서울 송파구 올림픽로 424,02-410-1114,5000,4000,https://sports.seoul.go.kr/main/facilities/facilities_view.do?ft_idx=982,,,
23,양천구민체육센터,서울 양천구 목동동로 81,02-2646-3333,3500,3500,https://sports.seoul.go.kr/main/facilities/facilities_view.do?ft_idx=1233,,,
24,영등포구민체육센터,서울 영등포구 국회대로72길 22,02-2670-1330,3500,3500,https://www.ydp.go.kr/www/contents.do?key=2919&,,,
25,용산구민체육센터,서울 용산구 한강대로40길 5,02-2199-7614,3500,3500,https://www.yongsan.go.kr/portal/main/contents.do?menuNo=201235,,,
26,은평구민체육센터,서울 은평구 통일로 684,02-351-3393,3500,3500,https://www.efmc.or.kr/fmcs/8,,,
27,종로구민체육센터,서울 종로구 율곡로 283,02-2148-1845,3500,3500,https://www.ijongno.co.kr/fmcs/29,,,
28,중구구민체육센터,서울 중구 다산로 32,02-2263-1493,3500,3500,https://www.e-junggu.or.kr/fmcs/314?action=list&facilities_type=C&base_date=20250501&center=JUNGGU01&type=&part=08&place=4,,,
29,중랑구민체육센터,서울 중랑구 신내역로3길 82,02-2094-1709,3500,3500,https://www.jungnangimc.or.kr/html/01010100,,,
30,부산시민수영장,부산 동래구 우장춘로 155,051-550-6400,4500,3500,https://sports.dongnae.go.kr/subpage/index/23,,,
31,사직수영장,부산 동래구 사직동 사직로 45,051-500-2765,4500,3500,https://www.busan.go.kr/sports/main/3?action=view&no=132,,,
32,대구시민수영장,대구 북구 고성로 175,053-353-4400,4500,3500,https://council.daegu.go.kr/kr/activity/free?reform=view&uid=CBF884CE7AE5781F0648E7A4AD657F40,,,
33,인천문학수영장,인천 미추홀구 매소홀로 618,032-440-5565,4500,3500,https://www.incheon.go.kr/health/HE050220,,,
34,인천도원수영장,인천 서구 봉오재로 18,032-560-4433,10000,10000,https://cbswim.webflow.io/suyeongjang/inceondoweonsuyeongjang,,,
35,광주 남구체육관 수영장,광주 남구 월산로 180,062-607-3950,4500,3500,http://namgusports.kr/49/?q=YToxOntzOjEyOiJrZXl3b3JkX3R5cGUiO3M6MzoiYWxsIjt9&bmode=view&idx=28788952&t=board,,,
36,대전 대덕구체육관 수영장,대전 대덕구 대전로 1333,042-608-6644,4500,3500,http://www.dd1318.com/index.php?mid=board_XjUz17&pMonth=0,,,
37,울산문수수영장,울산 남구 문수로 272,052-226-4801,4500,3500,https://www.ulsan.go.kr/tour/kor/unit/attrctn/view.do?mId=001002008000000000&unqId=40,,,
38,삼성 래미안 수영장,서울 강남구 영동대로 513,02-3011-0900,15000,12000,https://www2.neonet.co.kr/novo-rebank/view/community/CommunityDetail.neo?comm_gbn=common&board_gbn=P&id=647578,,,
40,롯데월드 아쿠아리움 수영장,서울 송파구 올림픽로 240,02-411-2000,20000,18000,https://tour.interpark.com/freeya/Spot/View.aspx?SpotNo=125299,,,
41,천호 아쿠아밸리,서울 강동구 천호대로 1017,02-489-3000,9000,7500,https://sugang.igangdong.or.kr/information/prg/01010000,,,
42,타임스퀘어 수영장,서울 영등포구 영중로 15,02-2638-2000,12000,10000,https://curisin.relaxspace.kr/seoul/20-top-%EC%84%9C%EC%9A%B8%ED%8A%B9%EB%B3%84%EC%8B%9C-%EC%98%81%EB%93%B1%ED%8F%AC%EA%B5%AC-%EC%98%81%EB%93%B1%ED%8F%AC%EB%8F%994%EA%B0%80-%EC%88%98%EC%98%81%EC%9E%A5-%EC%95%88%EB%82%B4/,,,
43,홍대 스포츠컴플렉스,서울 마포구 양화로 188,02-334-8888,11000,9000,https://www.mfac.or.kr/mapoArt/f/jsp/facilities/sportMac.jsp,,,
44,신세계백화점 강남점 수영장,서울 서초구 신반포로 176,02-3479-1234,18000,15000,https://www.shinsegae.com/culture/academy/about.do?tapCode=,,,
45,구로 디지털밸리 수영장,서울 구로구 디지털로 273,02-2028-3000,8500,7000,https://kr.hotels.com/de1805755-am128/hangug-seoul-gulo-dijiteol-danji-geoncheo-suyeongjang-hotel/,,,
46,마곡 LG아트센터 수영장,서울 강서구 마곡중앙8로 71,02-2005-0114,14000,12000,https://www.lgart.com/theaterguide/location,,,
47,롯데마트 노원점 수영장,서울 노원구 동일로 1414,02-950-2500,9000,7500,https://www.nowonsc.kr/fmcs/52?action=read&action-value=212474622684d7aebefccfd5db52f5b7,,,
48,소귀골백운산장,서울특별시 강북구 우이동 297 소귀골백운산장,,10000,8000,https://www.diningcode.com/profile.php?rid=l6TYbdZbe9jw,,,
49,서울북한산럭셔리카라반&amp;수영장글램핑,서울특별시 은평구 진관동 330-14,,10000,8000,https://bookhansan.campingt.me/,,,
50,노보텔 앰배서더 서울 강남,서울특별시 강남구 역삼동 603,,20000,20000,https://www.ambatel.com/novotel/Gangnam/ko/facilitiesView.do?facilities_contents_seq=34,,,
51,반얀트리 클럽 앤 스파 서울,서울특별시 중구 장충동2가 201,,20000,20000,https://www.banyantreeclub.com/,,,
52,롯데시티호텔 마포,서울특별시 마포구 공덕동 467,,20000,20000,https://www.lottehotel.com/mapo-city/ko/facilities/in-door-swimming-pool,,,
53,올림픽수영장,서울특별시 송파구 방이동 88,,10000,8000,https://www.ksponco.or.kr/sports/olparkswim,,,
54,뚝섬 한강공원 수영장,서울특별시 광진구 자양동 112,,10000,10000,https://hangang.seoul.go.kr/www/rvrPhoto/detail.do?photoSn=232&mid=490&pageNo=1&perPageCnt=&keyword=&opt1=&opt2=&opt3=&opt4=&opt5=&opt6=&opt7=&opt8=&opt9=&opt10=&opt11=&opt12=,,,
55,엠스타휘트니스,서울특별시 강서구 마곡동 743-4 엠스타휘트니스,,10000,10000,,,,
56,은평청여울수영장,서울특별시 은평구 대조동 241 베르디움STAY1,,10000,10000,https://www.efmc.or.kr/File/ae33c14858ab39bb323413b8b093c92a,,,
57,성일스포렉스 피트니스,서울특별시 강동구 성내동 531 지하 1층~지상 2층,,10000,10000,https://swimmingis.com/detail/32,,,
58,신길종합사회복지관,서울특별시 영등포구 신길동 465-1 신길종합사회복지관,,3000,3000,http://www.singil.org/bbs/content.php?co_id=facility,,,
59,시립서대문청소년센터,서울특별시 서대문구 연희동 167-1,,2500,2500,https://www.fun1318.or.kr/2021/edu/sport_view_new.php?gn2=156&gn3=166,,,
60,노블레스타워 실버타운,서울특별시 성북구 종암동 3-91 노블레스타워,,10000,8000,https://archive.chosun.com/pdf/i_service/pdf_ReadBody_s.jsp?ID=2025090403002BD204,,,
61,시립동대문청소년센터,서울특별시 동대문구 청량리동 11-1,,4500,4500,https://www.ddmy.or.kr/bbs/content.php?co_id=class_01,,,
62,효창종합사회복지관,서울특별시 용산구 용문동 32-48 5층 효창종합사회복지관,,3000,3000,https://sports.seoul.go.kr/main/facilities/facilities_view.do?ft_idx=1132,,,
63,슈퍼스타 시그니쳐 수영장,서울특별시 강서구 마곡동 798-6 지하1층 시그니쳐 성인 수영장,,10000,10000,,,,
64,더논현스포츠센터,서울특별시 강남구 논현동 168,,12000,12000,https://thenhsports.imweb.me/,,,
65,홍제스포렉스,서울특별시 서대문구 홍은동 48 홍제스포렉스,,10000,10000,https://learns.academy/academies/d85270c6-27c4-4b00-8dff-132215e7aa8f,,,
66,서일체육문화센터,서울특별시 서초구 서초동 1313 서일체육문화센터,,10000,10000,https://sports.seoul.go.kr/main/facilities/facilities_view.do?ft_idx=1474,,,
